"","SRR20959676","SRR20959677","SRR20959678","SRR20959679","SRR20959680","SRR20959681","SRR20959682"
"SAOUHSC_00415",32,56,8,12,40,0,6
"SAOUHSC_00416",5,24,48,17,30,55,146
"SAOUHSC_00417",138,12,34,9,32,42,36
"SAOUHSC_00418",0,1,0,0,0,0,0
"SAOUHSC_00420",16,14,68,6,10,1,132
"SAOUHSC_00421",14,0,1,1,3,8,27
"SAOUHSC_00422",8,7,33,18,12,7,35
"SAOUHSC_00423",17,2,0,0,7,1,21
"SAOUHSC_00424",0,4,7,0,4,3,9
"SAOUHSC_00426",8,5,0,0,1,3,5
"SAOUHSC_00427",717,130,19,1440,1142,470,1477
"SAOUHSC_00428",0,0,2,4,0,0,3
"SAOUHSC_00429",114,14,60,7,45,36,27
"SAOUHSC_00430",122,24,57,7,50,28,22
"SAOUHSC_00431",42,0,42,0,7,9,43
"SAOUHSC_00433",80,13,18,11,11,7,74
"SAOUHSC_00434",4,7,0,5,19,8,27
"SAOUHSC_00435",274,58,142,80,561,186,795
"SAOUHSC_00436",197,33,99,60,486,170,232
"SAOUHSC_T00048",1,0,0,0,0,0,1
"SAOUHSC_00437",1869,4,197,202,144,139,957
"SAOUHSC_00438",423,24,40,166,67,104,219
"SAOUHSC_00439",91,10,79,64,22,28,85
"SAOUHSC_00440",67,5,6,8,16,17,2
"SAOUHSC_00441",23,0,45,7,22,8,14
"SAOUHSC_00442",1032,134,370,308,370,285,1175
"SAOUHSC_00444",112,7,59,52,86,33,392
"SAOUHSC_00445",259,10,104,88,124,66,641
"SAOUHSC_00446",0,0,0,0,0,0,0
"SAOUHSC_R0001",1,5,6,21,9,1,7
"SAOUHSC_R0006",19,2,10,346,407,3,5
"SAOUHSC_R00011",0,0,1,0,1,0,0
"SAOUHSC_00450",18,4,8,21,8,27,91
"SAOUHSC_00451",12,3,10,7,34,6,20
"SAOUHSC_00452",2672,412,466,1278,901,448,2840
"SAOUHSC_00454",14,5,14,9,19,23,45
"SAOUHSC_00455",105,19,13,38,67,10,243
"SAOUHSC_00456",32,3,32,20,25,2,30
"SAOUHSC_00457",18,2,5,0,4,0,10
"SAOUHSC_00458",0,0,3,1,0,0,1
"SAOUHSC_00459",8,0,0,0,0,2,10
"SAOUHSC_00461",181,68,159,84,112,59,460
"SAOUHSC_00462",68,42,60,89,122,50,553
"SAOUHSC_00463",6,0,5,2,14,1,22
"SAOUHSC_00464",28,2,6,2,27,37,27
"SAOUHSC_00465",166,70,96,43,38,50,326
"SAOUHSC_00466",143,14,1,10,80,18,197
"SAOUHSC_00467",709,211,250,255,270,200,653
"SAOUHSC_00468",2767,630,770,1489,1038,1180,4443
"SAOUHSC_00469",984,130,168,346,268,221,583
"SAOUHSC_00470",0,2,14,0,1,8,4
"SAOUHSC_00471",1065,182,417,697,669,491,1455
"SAOUHSC_00472",675,77,70,516,279,304,1289
"SAOUHSC_00473",11,16,0,37,22,9,8
"SAOUHSC_00474",469,188,230,333,154,134,639
"SAOUHSC_00475",38,0,0,4,18,5,145
"SAOUHSC_00477",153,40,68,35,65,39,342
"SAOUHSC_00479",333,80,108,103,161,157,302
"SAOUHSC_00480",288,22,155,76,124,86,379
"SAOUHSC_00481",56,2,37,24,43,84,60
"SAOUHSC_00482",144,2,74,52,99,110,202
"SAOUHSC_00483",100,78,349,14,60,72,98
"SAOUHSC_00484",3,0,26,0,7,13,66
"SAOUHSC_00485",2,0,26,0,14,19,44
"SAOUHSC_00486",1992,274,724,1123,1462,1062,2326
"SAOUHSC_00487",43,15,7,40,91,33,101
"SAOUHSC_00488",114,4,67,90,70,39,163
"SAOUHSC_00489",17,0,4,0,2,0,0
"SAOUHSC_00490",3,0,0,6,0,0,11
"SAOUHSC_00491",11,2,2,6,2,10,21
"SAOUHSC_00492",1,0,10,1,3,1,12
"SAOUHSC_00493",224,96,347,243,186,230,402
"SAOUHSC_R00016",0,0,0,0,0,0,0
"SAOUHSC_T00059",40,1,0,12,14,0,24
"SAOUHSC_T00053",90,1,5,52,63,14,195
"SAOUHSC_T00035",146,0,5,82,117,28,375
"SAOUHSC_T00021",114,1,5,83,101,30,323
"SAOUHSC_T00030",86,7,6,86,101,23,288
"SAOUHSC_T0004",64,7,6,102,88,8,198
"SAOUHSC_T00044",39,2,0,68,72,4,100
"SAOUHSC_T0001",31,4,0,29,33,1,45
"SAOUHSC_R0002",53,34,47,45,83,60,66
"SAOUHSC_R0007",153,85,480,264,145,110,19
"SAOUHSC_R00012",0,0,0,0,0,0,0
"SAOUHSC_00497",3,4,0,7,12,4,11
"SAOUHSC_00499",159,38,198,239,76,52,233
"SAOUHSC_00500",1207,126,388,441,195,121,578
"SAOUHSC_00501",62,4,2,16,8,11,60
"SAOUHSC_00502",785,377,720,466,511,294,1833
"SAOUHSC_00503",5713,768,1395,3259,3367,1111,12923
"SAOUHSC_00504",3220,665,940,1579,1847,715,6144
"SAOUHSC_00505",13787,5804,6161,25044,24887,10259,16004
"SAOUHSC_00507",172,16,42,171,105,36,262
"SAOUHSC_00508",19,31,27,78,62,14,156
"SAOUHSC_00509",782,70,145,243,326,171,186
"SAOUHSC_00510",148,4,44,28,40,43,167
"SAOUHSC_00511",850,100,228,204,379,675,1507
"SAOUHSC_00512",120,78,72,142,228,248,562
"SAOUHSC_00513",1347,114,235,393,461,349,1691
"SAOUHSC_00514",390,38,191,64,112,107,501
"SAOUHSC_00515",25,33,56,12,10,12,58
"SAOUHSC_00516",8,4,0,2,7,0,18
"SAOUHSC_00517",211,35,68,71,154,113,332
"SAOUHSC_00518",1151,117,179,608,790,425,1751
"SAOUHSC_00519",1313,126,670,609,741,413,2609
"SAOUHSC_00520",183,16,130,110,123,142,573
"SAOUHSC_00521",220,12,61,95,116,150,97
"SAOUHSC_00523",45,0,36,16,24,18,52
"SAOUHSC_00524",44920,10074,12100,11864,19671,18808,62120
